year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,11135,FR,2025-12-03 12:02:19
2005,2208,Electrical and Electronic Engineering,9146,FR,2025-12-03 12:02:19
2005,3312,Sociology and Political Science,7658,FR,2025-12-03 12:02:19
2005,2505,Materials Chemistry,7572,FR,2025-12-03 12:02:19
2005,3107,"Atomic and Molecular Physics, and Optics",6385,FR,2025-12-03 12:02:19
2005,2204,Biomedical Engineering,5724,FR,2025-12-03 12:02:19
2005,2746,Surgery,5162,FR,2025-12-03 12:02:19
2005,1702,Artificial Intelligence,4912,FR,2025-12-03 12:02:19
2005,2713,Epidemiology,3950,FR,2025-12-03 12:02:19
2005,3600,General Health Professions,3483,FR,2025-12-03 12:02:19
2005,1705,Computer Networks and Communications,1826,FR,2025-12-03 12:02:19
2005,2504,"Electronic, Optical and Magnetic Materials",1684,FR,2025-12-03 12:02:19
2005,2210,Mechanical Engineering,1653,FR,2025-12-03 12:02:19
2005,1605,Organic Chemistry,1621,FR,2025-12-03 12:02:19
2005,1311,Genetics,1516,FR,2025-12-03 12:02:19
2005,2211,Mechanics of Materials,1411,FR,2025-12-03 12:02:19
2005,2740,Pulmonary and Respiratory Medicine,1408,FR,2025-12-03 12:02:19
2005,2730,Oncology,1326,FR,2025-12-03 12:02:19
2005,3320,Political Science and International Relations,1294,FR,2025-12-03 12:02:19
2005,1607,Spectroscopy,1272,FR,2025-12-03 12:02:19
2005,1703,Computational Theory and Mathematics,1227,FR,2025-12-03 12:02:19
2005,2202,Aerospace Engineering,1218,FR,2025-12-03 12:02:19
2005,3104,Condensed Matter Physics,1189,FR,2025-12-03 12:02:19
2005,3322,Urban Studies,1083,FR,2025-12-03 12:02:19
2005,2206,Computational Mechanics,1071,FR,2025-12-03 12:02:19
2005,2741,"Radiology, Nuclear Medicine and Imaging",1046,FR,2025-12-03 12:02:19
2005,1604,Inorganic Chemistry,1001,FR,2025-12-03 12:02:19
2005,2705,Cardiology and Cardiovascular Medicine,966,FR,2025-12-03 12:02:19
2005,1110,Plant Science,896,FR,2025-12-03 12:02:19
2005,2725,Infectious Diseases,852,FR,2025-12-03 12:02:19
2005,2804,Cellular and Molecular Neuroscience,848,FR,2025-12-03 12:02:19
2005,1307,Cell Biology,847,FR,2025-12-03 12:02:19
2005,2403,Immunology,808,FR,2025-12-03 12:02:19
2005,1211,Philosophy,805,FR,2025-12-03 12:02:19
2005,2737,Physiology,781,FR,2025-12-03 12:02:19
2005,3106,Nuclear and High Energy Physics,780,FR,2025-12-03 12:02:19
2005,1105,"Ecology, Evolution, Behavior and Systematics",771,FR,2025-12-03 12:02:19
2005,2739,"Public Health, Environmental and Occupational Health",765,FR,2025-12-03 12:02:19
2005,2734,Pathology and Forensic Medicine,750,FR,2025-12-03 12:02:19
2005,3103,Astronomy and Astrophysics,747,FR,2025-12-03 12:02:19
2005,2207,Control and Systems Engineering,713,FR,2025-12-03 12:02:19
2005,1707,Computer Vision and Pattern Recognition,699,FR,2025-12-03 12:02:19
2005,1710,Information Systems,671,FR,2025-12-03 12:02:19
2005,2507,Polymers and Plastics,625,FR,2025-12-03 12:02:19
2005,2745,Rheumatology,593,FR,2025-12-03 12:02:19
2005,1908,Geophysics,565,FR,2025-12-03 12:02:19
2005,3109,Statistical and Nonlinear Physics,561,FR,2025-12-03 12:02:19
2005,2721,Hepatology,555,FR,2025-12-03 12:02:19
2005,2712,"Endocrinology, Diabetes and Metabolism",551,FR,2025-12-03 12:02:19
2005,1711,Signal Processing,538,FR,2025-12-03 12:02:19
2005,3203,Clinical Psychology,526,FR,2025-12-03 12:02:19
2005,2508,"Surfaces, Coatings and Films",515,FR,2025-12-03 12:02:19
2005,1306,Cancer Research,505,FR,2025-12-03 12:02:19
2005,2002,Economics and Econometrics,500,FR,2025-12-03 12:02:19
2005,1503,Catalysis,499,FR,2025-12-03 12:02:19
2005,2728,Neurology,474,FR,2025-12-03 12:02:19
2005,2503,Ceramics and Composites,459,FR,2025-12-03 12:02:19
2005,3108,Radiation,455,FR,2025-12-03 12:02:19
2005,1606,Physical and Theoretical Chemistry,438,FR,2025-12-03 12:02:19
2005,2105,"Renewable Energy, Sustainability and the Environment",431,FR,2025-12-03 12:02:19
2005,2736,Pharmacology,413,FR,2025-12-03 12:02:19
2005,1708,Hardware and Architecture,412,FR,2025-12-03 12:02:19
2005,1204,Archeology,388,FR,2025-12-03 12:02:19
2005,1902,Atmospheric Science,383,FR,2025-12-03 12:02:19
2005,2303,Ecology,369,FR,2025-12-03 12:02:19
2005,2502,Biomaterials,365,FR,2025-12-03 12:02:19
2005,2916,Nutrition and Dietetics,364,FR,2025-12-03 12:02:19
2005,1106,Food Science,362,FR,2025-12-03 12:02:19
2005,2735,"Pediatrics, Perinatology and Child Health",359,FR,2025-12-03 12:02:19
2005,2805,Cognitive Neuroscience,324,FR,2025-12-03 12:02:19
2005,3314,Anthropology,322,FR,2025-12-03 12:02:19
2005,2732,Orthopedics and Sports Medicine,311,FR,2025-12-03 12:02:19
2005,1304,Biophysics,286,FR,2025-12-03 12:02:19
2005,1305,Biotechnology,285,FR,2025-12-03 12:02:19
2005,1502,Bioengineering,283,FR,2025-12-03 12:02:19
2005,2205,Civil and Structural Engineering,282,FR,2025-12-03 12:02:19
2005,2716,Genetics,277,FR,2025-12-03 12:02:19
2005,2212,Ocean Engineering,275,FR,2025-12-03 12:02:19
2005,2708,Dermatology,270,FR,2025-12-03 12:02:19
2005,2720,Hematology,269,FR,2025-12-03 12:02:19
2005,1207,History and Philosophy of Science,262,FR,2025-12-03 12:02:19
2005,1202,History,261,FR,2025-12-03 12:02:19
2005,1507,Fluid Flow and Transfer Processes,259,FR,2025-12-03 12:02:19
2005,3304,Education,258,FR,2025-12-03 12:02:19
2005,1303,Biochemistry,255,FR,2025-12-03 12:02:19
2005,2406,Virology,249,FR,2025-12-03 12:02:19
2005,1203,Language and Linguistics,239,FR,2025-12-03 12:02:19
2005,2711,Emergency Medicine,231,FR,2025-12-03 12:02:19
2005,3310,Linguistics and Language,228,FR,2025-12-03 12:02:19
2005,1712,Software,223,FR,2025-12-03 12:02:19
2005,2404,Microbiology,218,FR,2025-12-03 12:02:19
2005,3207,Social Psychology,218,FR,2025-12-03 12:02:19
2005,2731,Ophthalmology,215,FR,2025-12-03 12:02:19
2005,2312,Water Science and Technology,208,FR,2025-12-03 12:02:19
2005,1603,Electrochemistry,205,FR,2025-12-03 12:02:19
2005,1404,Management Information Systems,204,FR,2025-12-03 12:02:19
2005,2738,Psychiatry and Mental health,204,FR,2025-12-03 12:02:19
2005,1803,Management Science and Operations Research,198,FR,2025-12-03 12:02:19
2005,2610,Mathematical Physics,197,FR,2025-12-03 12:02:19
2005,2203,Automotive Engineering,194,FR,2025-12-03 12:02:19
2005,3316,Cultural Studies,192,FR,2025-12-03 12:02:19
2005,2715,Gastroenterology,188,FR,2025-12-03 12:02:19
2005,2613,Statistics and Probability,185,FR,2025-12-03 12:02:19
2005,2742,Rehabilitation,185,FR,2025-12-03 12:02:19
2005,2748,Urology,178,FR,2025-12-03 12:02:19
2005,1910,Oceanography,167,FR,2025-12-03 12:02:19
2005,2311,Industrial and Manufacturing Engineering,167,FR,2025-12-03 12:02:19
2005,2405,Parasitology,166,FR,2025-12-03 12:02:19
2005,1308,Clinical Biochemistry,165,FR,2025-12-03 12:02:19
2005,2808,Neurology,164,FR,2025-12-03 12:02:19
2005,3205,Experimental and Cognitive Psychology,161,FR,2025-12-03 12:02:19
2005,2743,Reproductive Medicine,158,FR,2025-12-03 12:02:19
2005,1109,Insect Science,155,FR,2025-12-03 12:02:19
2005,2306,Global and Planetary Change,153,FR,2025-12-03 12:02:19
2005,1408,Strategy and Management,150,FR,2025-12-03 12:02:19
2005,2723,Immunology and Allergy,148,FR,2025-12-03 12:02:19
2005,3317,Demography,147,FR,2025-12-03 12:02:19
2005,1602,Analytical Chemistry,141,FR,2025-12-03 12:02:19
2005,2703,Anesthesiology and Pain Medicine,141,FR,2025-12-03 12:02:19
2005,1313,Molecular Medicine,139,FR,2025-12-03 12:02:19
2005,2209,Industrial and Manufacturing Engineering,137,FR,2025-12-03 12:02:19
2005,2724,Internal Medicine,137,FR,2025-12-03 12:02:19
2005,2727,Nephrology,136,FR,2025-12-03 12:02:19
2005,2214,Media Technology,128,FR,2025-12-03 12:02:19
2005,1310,Endocrinology,126,FR,2025-12-03 12:02:19
2005,3404,Small Animals,121,FR,2025-12-03 12:02:19
2005,2807,Endocrine and Autonomic Systems,120,FR,2025-12-03 12:02:19
2005,2706,Critical Care and Intensive Care Medicine,119,FR,2025-12-03 12:02:19
2005,3308,Law,118,FR,2025-12-03 12:02:19
2005,2305,Environmental Engineering,114,FR,2025-12-03 12:02:19
2005,3105,Instrumentation,114,FR,2025-12-03 12:02:19
2005,3318,Gender Studies,114,FR,2025-12-03 12:02:19
2005,3003,Pharmaceutical Science,113,FR,2025-12-03 12:02:19
2005,2310,Pollution,111,FR,2025-12-03 12:02:19
2005,2729,Obstetrics and Gynecology,111,FR,2025-12-03 12:02:19
2005,3504,Oral Surgery,111,FR,2025-12-03 12:02:19
2005,1103,Animal Science and Zoology,108,FR,2025-12-03 12:02:19
2005,2213,"Safety, Risk, Reliability and Quality",107,FR,2025-12-03 12:02:19
2005,1804,"Statistics, Probability and Uncertainty",104,FR,2025-12-03 12:02:19
2005,2704,Biochemistry,100,FR,2025-12-03 12:02:19
2005,3604,Emergency Medical Services,98,FR,2025-12-03 12:02:19
2005,2747,Transplantation,97,FR,2025-12-03 12:02:19
2005,2604,Applied Mathematics,96,FR,2025-12-03 12:02:19
2005,3305,"Geography, Planning and Development",95,FR,2025-12-03 12:02:19
2005,1208,Literature and Literary Theory,92,FR,2025-12-03 12:02:19
2005,2308,"Management, Monitoring, Policy and Law",92,FR,2025-12-03 12:02:19
2005,3004,Pharmacology,92,FR,2025-12-03 12:02:19
2005,2733,Otorhinolaryngology,91,FR,2025-12-03 12:02:19
2005,1906,Geochemistry and Petrology,89,FR,2025-12-03 12:02:19
2005,1314,Physiology,88,FR,2025-12-03 12:02:19
2005,2809,Sensory Systems,84,FR,2025-12-03 12:02:19
2005,2506,Metals and Alloys,83,FR,2025-12-03 12:02:19
2005,2307,"Health, Toxicology and Mutagenesis",81,FR,2025-12-03 12:02:19
2005,2608,Geometry and Topology,81,FR,2025-12-03 12:02:19
2005,2806,Developmental Neuroscience,79,FR,2025-12-03 12:02:19
2005,3306,Health,78,FR,2025-12-03 12:02:19
2005,3311,Safety Research,77,FR,2025-12-03 12:02:19
2005,2304,Environmental Chemistry,76,FR,2025-12-03 12:02:19
2005,1709,Human-Computer Interaction,70,FR,2025-12-03 12:02:19
2005,2607,Discrete Mathematics and Combinatorics,70,FR,2025-12-03 12:02:19
2005,1212,Religious studies,68,FR,2025-12-03 12:02:19
2005,2215,Building and Construction,67,FR,2025-12-03 12:02:19
2005,1407,Organizational Behavior and Human Resource Management,65,FR,2025-12-03 12:02:19
2005,3616,Speech and Hearing,62,FR,2025-12-03 12:02:19
2005,1107,Forestry,61,FR,2025-12-03 12:02:19
2005,2500,General Materials Science,61,FR,2025-12-03 12:02:19
2005,3005,Toxicology,61,FR,2025-12-03 12:02:19
2005,2707,Complementary and alternative medicine,59,FR,2025-12-03 12:02:19
2005,3204,Developmental and Educational Psychology,59,FR,2025-12-03 12:02:19
2005,1405,Management of Technology and Innovation,58,FR,2025-12-03 12:02:19
2005,3611,Pharmacy,58,FR,2025-12-03 12:02:19
2005,2000,"General Economics, Econometrics and Finance",52,FR,2025-12-03 12:02:19
2005,2003,Finance,51,FR,2025-12-03 12:02:19
2005,3506,Periodontics,49,FR,2025-12-03 12:02:19
2005,3612,"Physical Therapy, Sports Therapy and Rehabilitation",47,FR,2025-12-03 12:02:19
2005,1315,Structural Biology,46,FR,2025-12-03 12:02:19
2005,2717,Geriatrics and Gerontology,46,FR,2025-12-03 12:02:19
2005,1102,Agronomy and Crop Science,45,FR,2025-12-03 12:02:19
2005,1410,Industrial relations,45,FR,2025-12-03 12:02:19
2005,1402,Accounting,44,FR,2025-12-03 12:02:19
2005,3614,Radiological and Ultrasound Technology,44,FR,2025-12-03 12:02:19
2005,1911,Paleontology,41,FR,2025-12-03 12:02:19
2005,2612,Numerical Analysis,41,FR,2025-12-03 12:02:19
2005,1406,Marketing,40,FR,2025-12-03 12:02:19
2005,1706,Computer Science Applications,37,FR,2025-12-03 12:02:19
2005,3505,Orthodontics,37,FR,2025-12-03 12:02:19
2005,1506,Filtration and Separation,36,FR,2025-12-03 12:02:19
2005,3102,Acoustics and Ultrasonics,36,FR,2025-12-03 12:02:19
2005,1904,Earth-Surface Processes,35,FR,2025-12-03 12:02:19
2005,1100,General Agricultural and Biological Sciences,34,FR,2025-12-03 12:02:19
2005,1802,Information Systems and Management,34,FR,2025-12-03 12:02:19
2005,2611,Modeling and Simulation,34,FR,2025-12-03 12:02:19
2005,2309,Nature and Landscape Conservation,32,FR,2025-12-03 12:02:19
2005,2602,Algebra and Number Theory,32,FR,2025-12-03 12:02:19
2005,1508,Process Chemistry and Technology,31,FR,2025-12-03 12:02:19
2005,1704,Computer Graphics and Computer-Aided Design,31,FR,2025-12-03 12:02:19
2005,1104,Aquatic Science,30,FR,2025-12-03 12:02:19
2005,2702,Anatomy,30,FR,2025-12-03 12:02:19
2005,3303,Development,30,FR,2025-12-03 12:02:19
2005,3313,Transportation,30,FR,2025-12-03 12:02:19
2006,1312,Molecular Biology,11879,FR,2025-12-03 12:02:19
2006,2208,Electrical and Electronic Engineering,10705,FR,2025-12-03 12:02:19
2006,3312,Sociology and Political Science,8640,FR,2025-12-03 12:02:19
2006,2505,Materials Chemistry,8438,FR,2025-12-03 12:02:19
2006,2204,Biomedical Engineering,7473,FR,2025-12-03 12:02:19
2006,3107,"Atomic and Molecular Physics, and Optics",7072,FR,2025-12-03 12:02:19
2006,2746,Surgery,5626,FR,2025-12-03 12:02:19
2006,1702,Artificial Intelligence,5554,FR,2025-12-03 12:02:19
2006,2713,Epidemiology,4377,FR,2025-12-03 12:02:19
2006,3600,General Health Professions,4323,FR,2025-12-03 12:02:19
2006,1605,Organic Chemistry,2296,FR,2025-12-03 12:02:19
2006,1705,Computer Networks and Communications,2246,FR,2025-12-03 12:02:19
2006,2504,"Electronic, Optical and Magnetic Materials",1958,FR,2025-12-03 12:02:19
2006,2210,Mechanical Engineering,1943,FR,2025-12-03 12:02:19
2006,2211,Mechanics of Materials,1681,FR,2025-12-03 12:02:19
2006,1311,Genetics,1603,FR,2025-12-03 12:02:19
2006,2740,Pulmonary and Respiratory Medicine,1589,FR,2025-12-03 12:02:19
2006,2202,Aerospace Engineering,1514,FR,2025-12-03 12:02:19
2006,2730,Oncology,1489,FR,2025-12-03 12:02:19
2006,3320,Political Science and International Relations,1327,FR,2025-12-03 12:02:19
2006,3104,Condensed Matter Physics,1258,FR,2025-12-03 12:02:19
2006,1607,Spectroscopy,1254,FR,2025-12-03 12:02:19
2006,1703,Computational Theory and Mathematics,1254,FR,2025-12-03 12:02:19
2006,3322,Urban Studies,1185,FR,2025-12-03 12:02:19
2006,2206,Computational Mechanics,1163,FR,2025-12-03 12:02:19
2006,1211,Philosophy,1083,FR,2025-12-03 12:02:19
2006,2741,"Radiology, Nuclear Medicine and Imaging",1037,FR,2025-12-03 12:02:19
2006,2705,Cardiology and Cardiovascular Medicine,1005,FR,2025-12-03 12:02:19
2006,1110,Plant Science,972,FR,2025-12-03 12:02:19
2006,2725,Infectious Diseases,958,FR,2025-12-03 12:02:19
2006,2804,Cellular and Molecular Neuroscience,936,FR,2025-12-03 12:02:19
2006,1604,Inorganic Chemistry,935,FR,2025-12-03 12:02:19
2006,1307,Cell Biology,896,FR,2025-12-03 12:02:19
2006,2737,Physiology,877,FR,2025-12-03 12:02:19
2006,1105,"Ecology, Evolution, Behavior and Systematics",873,FR,2025-12-03 12:02:19
2006,1710,Information Systems,871,FR,2025-12-03 12:02:19
2006,1606,Physical and Theoretical Chemistry,868,FR,2025-12-03 12:02:19
2006,2739,"Public Health, Environmental and Occupational Health",848,FR,2025-12-03 12:02:19
2006,2403,Immunology,823,FR,2025-12-03 12:02:19
2006,2207,Control and Systems Engineering,811,FR,2025-12-03 12:02:19
2006,1707,Computer Vision and Pattern Recognition,808,FR,2025-12-03 12:02:19
2006,2734,Pathology and Forensic Medicine,795,FR,2025-12-03 12:02:19
2006,3103,Astronomy and Astrophysics,780,FR,2025-12-03 12:02:19
2006,3106,Nuclear and High Energy Physics,729,FR,2025-12-03 12:02:19
2006,2721,Hepatology,720,FR,2025-12-03 12:02:19
2006,2745,Rheumatology,698,FR,2025-12-03 12:02:19
2006,2507,Polymers and Plastics,668,FR,2025-12-03 12:02:19
2006,1711,Signal Processing,634,FR,2025-12-03 12:02:19
2006,1507,Fluid Flow and Transfer Processes,619,FR,2025-12-03 12:02:19
2006,1908,Geophysics,613,FR,2025-12-03 12:02:19
2006,2712,"Endocrinology, Diabetes and Metabolism",606,FR,2025-12-03 12:02:19
2006,3109,Statistical and Nonlinear Physics,602,FR,2025-12-03 12:02:19
2006,3203,Clinical Psychology,596,FR,2025-12-03 12:02:19
2006,2002,Economics and Econometrics,590,FR,2025-12-03 12:02:19
2006,2508,"Surfaces, Coatings and Films",563,FR,2025-12-03 12:02:19
2006,1503,Catalysis,520,FR,2025-12-03 12:02:19
2006,2105,"Renewable Energy, Sustainability and the Environment",518,FR,2025-12-03 12:02:19
2006,1306,Cancer Research,511,FR,2025-12-03 12:02:19
2006,2728,Neurology,511,FR,2025-12-03 12:02:19
2006,3108,Radiation,484,FR,2025-12-03 12:02:19
2006,2503,Ceramics and Composites,461,FR,2025-12-03 12:02:19
2006,2736,Pharmacology,448,FR,2025-12-03 12:02:19
2006,2502,Biomaterials,443,FR,2025-12-03 12:02:19
2006,1902,Atmospheric Science,436,FR,2025-12-03 12:02:19
2006,2805,Cognitive Neuroscience,420,FR,2025-12-03 12:02:19
2006,2303,Ecology,404,FR,2025-12-03 12:02:19
2006,1204,Archeology,400,FR,2025-12-03 12:02:19
2006,1708,Hardware and Architecture,399,FR,2025-12-03 12:02:19
2006,2735,"Pediatrics, Perinatology and Child Health",371,FR,2025-12-03 12:02:19
2006,2205,Civil and Structural Engineering,370,FR,2025-12-03 12:02:19
2006,2732,Orthopedics and Sports Medicine,369,FR,2025-12-03 12:02:19
2006,2916,Nutrition and Dietetics,367,FR,2025-12-03 12:02:19
2006,1106,Food Science,346,FR,2025-12-03 12:02:19
2006,2720,Hematology,335,FR,2025-12-03 12:02:19
2006,3304,Education,334,FR,2025-12-03 12:02:19
2006,1304,Biophysics,332,FR,2025-12-03 12:02:19
2006,3314,Anthropology,326,FR,2025-12-03 12:02:19
2006,1202,History,320,FR,2025-12-03 12:02:19
2006,1203,Language and Linguistics,314,FR,2025-12-03 12:02:19
2006,2716,Genetics,308,FR,2025-12-03 12:02:19
2006,1502,Bioengineering,304,FR,2025-12-03 12:02:19
2006,2212,Ocean Engineering,299,FR,2025-12-03 12:02:19
2006,3207,Social Psychology,286,FR,2025-12-03 12:02:19
2006,1207,History and Philosophy of Science,282,FR,2025-12-03 12:02:19
2006,1305,Biotechnology,268,FR,2025-12-03 12:02:19
2006,2711,Emergency Medicine,262,FR,2025-12-03 12:02:19
2006,1303,Biochemistry,259,FR,2025-12-03 12:02:19
2006,2404,Microbiology,256,FR,2025-12-03 12:02:19
2006,1803,Management Science and Operations Research,253,FR,2025-12-03 12:02:19
2006,1603,Electrochemistry,245,FR,2025-12-03 12:02:19
2006,1404,Management Information Systems,239,FR,2025-12-03 12:02:19
2006,1712,Software,231,FR,2025-12-03 12:02:19
2006,2708,Dermatology,227,FR,2025-12-03 12:02:19
2006,3316,Cultural Studies,226,FR,2025-12-03 12:02:19
2006,2743,Reproductive Medicine,223,FR,2025-12-03 12:02:19
2006,3310,Linguistics and Language,221,FR,2025-12-03 12:02:19
2006,2406,Virology,216,FR,2025-12-03 12:02:19
2006,2312,Water Science and Technology,213,FR,2025-12-03 12:02:19
2006,2715,Gastroenterology,209,FR,2025-12-03 12:02:19
2006,2748,Urology,206,FR,2025-12-03 12:02:19
2006,2738,Psychiatry and Mental health,205,FR,2025-12-03 12:02:19
2006,2203,Automotive Engineering,204,FR,2025-12-03 12:02:19
2006,3105,Instrumentation,204,FR,2025-12-03 12:02:19
2006,2311,Industrial and Manufacturing Engineering,195,FR,2025-12-03 12:02:19
2006,1308,Clinical Biochemistry,194,FR,2025-12-03 12:02:19
2006,2214,Media Technology,194,FR,2025-12-03 12:02:19
2006,2610,Mathematical Physics,189,FR,2025-12-03 12:02:19
2006,1310,Endocrinology,184,FR,2025-12-03 12:02:19
2006,2742,Rehabilitation,184,FR,2025-12-03 12:02:19
2006,3317,Demography,184,FR,2025-12-03 12:02:19
2006,3205,Experimental and Cognitive Psychology,182,FR,2025-12-03 12:02:19
2006,2613,Statistics and Probability,178,FR,2025-12-03 12:02:19
2006,2731,Ophthalmology,177,FR,2025-12-03 12:02:19
2006,2808,Neurology,176,FR,2025-12-03 12:02:19
2006,2209,Industrial and Manufacturing Engineering,174,FR,2025-12-03 12:02:19
2006,1602,Analytical Chemistry,163,FR,2025-12-03 12:02:19
2006,2405,Parasitology,163,FR,2025-12-03 12:02:19
2006,2727,Nephrology,163,FR,2025-12-03 12:02:19
2006,1408,Strategy and Management,162,FR,2025-12-03 12:02:19
2006,1910,Oceanography,159,FR,2025-12-03 12:02:19
2006,1109,Insect Science,158,FR,2025-12-03 12:02:19
2006,2306,Global and Planetary Change,158,FR,2025-12-03 12:02:19
2006,2703,Anesthesiology and Pain Medicine,144,FR,2025-12-03 12:02:19
2006,1313,Molecular Medicine,142,FR,2025-12-03 12:02:19
2006,2723,Immunology and Allergy,137,FR,2025-12-03 12:02:19
2006,2706,Critical Care and Intensive Care Medicine,135,FR,2025-12-03 12:02:19
2006,2729,Obstetrics and Gynecology,135,FR,2025-12-03 12:02:19
2006,2807,Endocrine and Autonomic Systems,135,FR,2025-12-03 12:02:19
2006,3308,Law,128,FR,2025-12-03 12:02:19
2006,2305,Environmental Engineering,127,FR,2025-12-03 12:02:19
2006,2213,"Safety, Risk, Reliability and Quality",126,FR,2025-12-03 12:02:19
2006,2724,Internal Medicine,125,FR,2025-12-03 12:02:19
2006,2809,Sensory Systems,125,FR,2025-12-03 12:02:19
2006,1208,Literature and Literary Theory,117,FR,2025-12-03 12:02:19
2006,3504,Oral Surgery,117,FR,2025-12-03 12:02:19
2006,3318,Gender Studies,116,FR,2025-12-03 12:02:19
2006,2215,Building and Construction,114,FR,2025-12-03 12:02:19
2006,2310,Pollution,113,FR,2025-12-03 12:02:19
2006,2307,"Health, Toxicology and Mutagenesis",111,FR,2025-12-03 12:02:19
2006,3003,Pharmaceutical Science,111,FR,2025-12-03 12:02:19
2006,1804,"Statistics, Probability and Uncertainty",110,FR,2025-12-03 12:02:19
2006,2747,Transplantation,110,FR,2025-12-03 12:02:19
2006,1314,Physiology,108,FR,2025-12-03 12:02:19
2006,2308,"Management, Monitoring, Policy and Law",108,FR,2025-12-03 12:02:19
2006,2506,Metals and Alloys,108,FR,2025-12-03 12:02:19
2006,1906,Geochemistry and Petrology,107,FR,2025-12-03 12:02:19
2006,1103,Animal Science and Zoology,106,FR,2025-12-03 12:02:19
2006,3616,Speech and Hearing,105,FR,2025-12-03 12:02:19
2006,2604,Applied Mathematics,102,FR,2025-12-03 12:02:19
2006,3404,Small Animals,99,FR,2025-12-03 12:02:19
2006,3604,Emergency Medical Services,99,FR,2025-12-03 12:02:19
2006,2704,Biochemistry,98,FR,2025-12-03 12:02:19
2006,3311,Safety Research,97,FR,2025-12-03 12:02:19
2006,2608,Geometry and Topology,96,FR,2025-12-03 12:02:19
2006,2733,Otorhinolaryngology,96,FR,2025-12-03 12:02:19
2006,2304,Environmental Chemistry,94,FR,2025-12-03 12:02:19
2006,3004,Pharmacology,87,FR,2025-12-03 12:02:19
2006,1407,Organizational Behavior and Human Resource Management,84,FR,2025-12-03 12:02:19
2006,3306,Health,84,FR,2025-12-03 12:02:19
2006,1709,Human-Computer Interaction,81,FR,2025-12-03 12:02:19
2006,3204,Developmental and Educational Psychology,81,FR,2025-12-03 12:02:19
2006,2607,Discrete Mathematics and Combinatorics,79,FR,2025-12-03 12:02:19
2006,1212,Religious studies,78,FR,2025-12-03 12:02:19
2006,2000,"General Economics, Econometrics and Finance",74,FR,2025-12-03 12:02:19
2006,2500,General Materials Science,73,FR,2025-12-03 12:02:19
2006,3305,"Geography, Planning and Development",72,FR,2025-12-03 12:02:19
2006,1102,Agronomy and Crop Science,69,FR,2025-12-03 12:02:19
2006,1315,Structural Biology,68,FR,2025-12-03 12:02:19
2006,2717,Geriatrics and Gerontology,68,FR,2025-12-03 12:02:19
2006,2806,Developmental Neuroscience,68,FR,2025-12-03 12:02:19
2006,1107,Forestry,65,FR,2025-12-03 12:02:19
2006,1911,Paleontology,64,FR,2025-12-03 12:02:19
2006,2003,Finance,63,FR,2025-12-03 12:02:19
2006,1402,Accounting,59,FR,2025-12-03 12:02:19
2006,2707,Complementary and alternative medicine,58,FR,2025-12-03 12:02:19
2006,3611,Pharmacy,56,FR,2025-12-03 12:02:19
2006,1706,Computer Science Applications,55,FR,2025-12-03 12:02:19
2006,1802,Information Systems and Management,54,FR,2025-12-03 12:02:19
2006,3612,"Physical Therapy, Sports Therapy and Rehabilitation",54,FR,2025-12-03 12:02:19
2006,1410,Industrial relations,53,FR,2025-12-03 12:02:19
2006,3102,Acoustics and Ultrasonics,53,FR,2025-12-03 12:02:19
2006,1406,Marketing,52,FR,2025-12-03 12:02:19
2006,3313,Transportation,50,FR,2025-12-03 12:02:19
2006,2602,Algebra and Number Theory,49,FR,2025-12-03 12:02:19
2006,3614,Radiological and Ultrasound Technology,49,FR,2025-12-03 12:02:19
2006,1904,Earth-Surface Processes,48,FR,2025-12-03 12:02:19
2006,3005,Toxicology,48,FR,2025-12-03 12:02:19
2006,3505,Orthodontics,47,FR,2025-12-03 12:02:19
2006,2611,Modeling and Simulation,46,FR,2025-12-03 12:02:19
2006,1200,General Arts and Humanities,45,FR,2025-12-03 12:02:19
2006,3506,Periodontics,45,FR,2025-12-03 12:02:19
2006,1405,Management of Technology and Innovation,43,FR,2025-12-03 12:02:19
2006,1302,Aging,41,FR,2025-12-03 12:02:19
2006,1506,Filtration and Separation,41,FR,2025-12-03 12:02:19
2006,1508,Process Chemistry and Technology,41,FR,2025-12-03 12:02:19
2006,2309,Nature and Landscape Conservation,36,FR,2025-12-03 12:02:19
2006,3303,Development,36,FR,2025-12-03 12:02:19
2006,1100,General Agricultural and Biological Sciences,35,FR,2025-12-03 12:02:19
2006,1205,Classics,35,FR,2025-12-03 12:02:19
2006,2102,Energy Engineering and Power Technology,35,FR,2025-12-03 12:02:19
2007,1312,Molecular Biology,12362,FR,2025-12-03 12:02:19
2007,2208,Electrical and Electronic Engineering,10777,FR,2025-12-03 12:02:19
2007,3312,Sociology and Political Science,10146,FR,2025-12-03 12:02:19
2007,2204,Biomedical Engineering,9968,FR,2025-12-03 12:02:19
2007,2505,Materials Chemistry,8995,FR,2025-12-03 12:02:19
2007,3107,"Atomic and Molecular Physics, and Optics",7063,FR,2025-12-03 12:02:19
2007,2746,Surgery,6105,FR,2025-12-03 12:02:19
2007,1702,Artificial Intelligence,5874,FR,2025-12-03 12:02:19
2007,3600,General Health Professions,4611,FR,2025-12-03 12:02:19
2007,2713,Epidemiology,4495,FR,2025-12-03 12:02:19
2007,1605,Organic Chemistry,3950,FR,2025-12-03 12:02:19
2007,1507,Fluid Flow and Transfer Processes,3162,FR,2025-12-03 12:02:19
